iter	Passed	Remaining
0	56	56591
1	56	28406
2	57	18995
3	57	14286
4	57	11480
5	58	9613
6	58	8275
7	58	7268
8	58	6485
9	59	5851
10	59	5348
11	59	4917
12	59	4553
13	60	4249
14	60	3985
15	60	3746
16	61	3537
17	61	3349
18	61	3183
19	61	3032
20	62	2896
21	62	2771
22	62	2657
23	62	2553
24	63	2459
25	63	2370
26	63	2287
27	63	2210
28	63	2140
29	64	2074
30	64	2011
31	64	1956
32	64	1902
33	65	1852
34	65	1803
35	65	1757
36	65	1713
37	66	1674
38	66	1635
39	66	1598
40	66	1563
41	67	1529
42	67	1497
43	67	1466
44	67	1436
45	67	1408
46	68	1381
47	68	1355
48	68	1331
49	68	1307
50	69	1284
51	69	1263
52	69	1242
53	69	1221
54	70	1203
55	70	1185
56	70	1168
57	70	1151
58	71	1134
59	71	1118
60	71	1102
61	71	1086
62	72	1073
63	72	1059
64	72	1045
65	72	1032
66	73	1019
67	73	1007
68	73	994
69	73	982
70	74	971
71	74	960
72	74	948
73	75	938
74	75	928
75	75	918
76	75	908
77	76	898
78	76	888
79	76	879
80	76	870
81	76	861
82	77	850
83	77	842
84	77	833
85	77	825
86	77	817
87	78	809
88	78	802
89	78	794
90	78	787
91	79	779
92	79	772
93	79	765
94	79	758
95	79	751
96	80	745
97	80	739
98	80	733
99	80	727
100	81	721
101	81	715
102	81	709
103	81	703
104	81	698
105	82	692
106	82	687
107	82	681
108	82	676
109	82	671
110	83	666
111	83	661
112	83	656
113	83	651
114	84	647
115	84	642
116	84	637
117	84	632
118	84	628
119	85	624
120	85	619
121	85	615
122	85	611
123	85	606
124	86	602
125	86	598
126	86	594
127	86	590
128	86	586
129	87	583
130	87	579
131	87	575
132	87	572
133	88	568
134	88	565
135	88	562
136	88	558
137	88	555
138	89	552
139	89	549
140	89	546
141	89	543
142	90	540
143	90	537
144	90	534
145	90	531
146	91	528
147	91	525
148	91	523
149	91	520
150	92	518
151	92	515
152	92	513
153	92	510
154	93	507
155	93	504
156	93	502
157	93	499
158	94	497
159	94	494
160	94	492
161	94	489
162	94	487
163	95	485
164	95	483
165	95	480
166	95	478
167	96	476
168	96	474
169	96	472
170	97	470
171	97	468
172	97	466
173	97	464
174	98	462
175	98	460
176	98	458
177	98	456
178	99	454
179	99	452
180	99	451
181	99	448
182	100	447
183	100	445
184	100	443
185	100	441
186	101	439
187	101	438
188	101	436
189	101	434
190	102	432
191	102	430
192	102	428
193	102	427
194	103	425
195	103	424
196	103	422
197	103	421
198	104	419
199	104	418
200	104	416
201	105	414
202	105	413
203	105	411
204	105	410
205	106	408
206	106	407
207	106	405
208	106	404
209	107	402
210	107	401
211	107	399
212	107	398
213	108	397
214	108	395
215	108	394
216	108	392
217	109	391
218	109	389
219	109	388
220	109	387
221	110	385
222	110	384
223	110	383
224	110	381
225	111	380
226	111	379
227	111	378
228	111	376
229	112	375
230	112	374
231	112	372
232	112	371
233	113	370
234	113	369
235	113	368
236	113	366
237	114	365
238	114	364
239	114	363
240	115	362
241	115	361
242	115	360
243	115	358
244	116	357
245	116	356
246	116	355
247	116	354
248	117	353
249	117	351
250	117	350
251	117	349
252	118	348
253	118	347
254	118	346
255	118	345
256	119	345
257	119	344
258	120	343
259	120	343
260	120	342
261	121	340
262	121	339
263	121	338
264	121	337
265	122	336
266	122	335
267	122	334
268	122	333
269	123	332
270	123	331
271	123	330
272	123	329
273	124	329
274	124	328
275	124	327
276	124	325
277	125	325
278	125	324
279	125	323
280	126	322
281	126	321
282	126	320
283	126	319
284	127	319
285	127	318
286	127	317
287	127	316
288	128	315
289	128	314
290	128	313
291	128	312
292	129	311
293	129	310
294	129	309
295	129	308
296	130	308
297	130	307
298	130	306
299	130	305
300	131	304
301	131	303
302	131	302
303	131	302
304	132	301
305	132	300
306	132	299
307	133	299
308	133	298
309	133	297
310	134	296
311	134	296
312	134	295
313	134	294
314	134	293
315	135	292
316	135	291
317	135	290
318	135	290
319	136	289
320	136	288
321	136	287
322	136	286
323	137	286
324	137	285
325	137	284
326	137	283
327	138	283
328	138	282
329	138	281
330	139	282
331	140	281
332	140	281
333	140	280
334	140	279
335	141	279
336	141	278
337	141	277
338	142	276
339	142	276
340	142	275
341	142	275
342	143	274
343	143	273
344	143	272
345	143	272
346	144	271
347	144	270
348	144	269
349	144	269
350	145	268
351	145	267
352	145	267
353	146	266
354	146	265
355	146	265
356	146	264
357	147	263
358	147	262
359	147	262
360	147	261
361	148	261
362	148	260
363	148	260
364	149	259
365	149	258
366	149	258
367	149	257
368	150	256
369	150	256
370	150	255
371	150	254
372	151	254
373	151	253
374	151	252
375	151	251
376	152	251
377	152	250
378	152	249
379	152	249
380	153	248
381	153	248
382	153	247
383	153	246
384	154	246
385	154	245
386	154	244
387	154	244
388	155	243
389	155	242
390	155	242
391	155	241
392	156	241
393	156	240
394	156	239
395	156	239
396	157	238
397	157	237
398	157	237
399	157	236
400	158	236
401	158	235
402	158	234
403	158	234
404	159	233
405	159	233
406	159	232
407	159	231
408	160	231
409	160	230
410	160	230
411	160	229
412	161	228
413	161	228
414	161	227
415	161	227
416	161	226
417	162	225
418	162	225
419	162	224
420	163	224
421	163	223
422	163	223
423	163	222
424	164	221
425	164	221
426	164	220
427	164	220
428	165	219
429	165	219
430	165	218
431	165	217
432	165	217
433	166	216
434	166	216
435	166	215
436	166	215
437	167	214
438	167	214
439	167	213
440	168	212
441	168	212
442	168	211
443	168	211
444	169	210
445	169	210
446	169	210
447	170	209
448	170	209
449	170	208
450	170	208
451	171	207
452	171	207
453	171	206
454	172	206
455	172	205
456	172	205
457	172	204
458	173	204
459	173	203
460	173	203
461	173	202
462	174	202
463	174	202
464	175	201
465	175	201
466	175	200
467	176	200
468	176	199
469	176	199
470	176	198
471	176	197
472	177	197
473	177	197
474	177	196
475	177	195
476	178	195
477	178	194
478	178	194
479	179	193
480	179	193
481	179	192
482	179	192
483	180	191
484	180	191
485	180	190
486	180	190
487	181	189
488	181	189
